Date,Match,Result,Score,Competition
21 Mar 2019,Belgium v Russia,W,"
3-1
",UEFA European Championship
24 Mar 2019,Cyprus v Belgium,W,"
0-2
",UEFA European Championship
08 Jun 2019,Belgium v Kazakhstan,W,"
3-0
",UEFA European Championship
11 Jun 2019,Belgium v Scotland,W,"
3-0
",UEFA European Championship
06 Sep 2019,San Marino v Belgium,W,"
0-4
",UEFA European Championship
09 Sep 2019,Scotland v Belgium,W,"
0-4
",UEFA European Championship
10 Oct 2019,Belgium v San Marino,W,"
9-0
",UEFA European Championship
13 Oct 2019,Kazakhstan v Belgium,W,"
0-2
",UEFA European Championship
16 Nov 2019,Russia v Belgium,W,"
1-4
",UEFA European Championship
19 Nov 2019,Belgium v Cyprus,W,"
6-1
",UEFA European Championship
05 Sep 2020,Denmark v Belgium,W,"
0-2
",UEFA Nations League
08 Sep 2020,Belgium v Iceland,W,"
5-1
",UEFA Nations League
08 Oct 2020,Belgium v Ivory Coast,D,"
1-1
",International Friendly
11 Oct 2020,England v Belgium,L,"
2-1
",UEFA Nations League
14 Oct 2020,Iceland v Belgium,W,"
1-2
",UEFA Nations League
11 Nov 2020,Belgium v Switzerland,W,"
2-1
",International Friendly
15 Nov 2020,Belgium v England,W,"
2-0
",UEFA Nations League
18 Nov 2020,Belgium v Denmark,W,"
4-2
",UEFA Nations League
24 Mar 2021,Belgium v Wales,W,"
3-1
",FIFA World Cup
27 Mar 2021,Czech Republic v Belgium,D,"
1-1
",FIFA World Cup
30 Mar 2021,Belgium v Belarus,W,"
8-0
",FIFA World Cup
07 Sep 2018,Turkey v Russia,W,"
1-2
",UEFA Nations League
10 Sep 2018,Russia v Czech Republic,W,"
5-1
",International Friendly
11 Oct 2018,Russia v Sweden,D,"
0-0
",UEFA Nations League
14 Oct 2018,Russia v Turkey,W,"
2-0
",UEFA Nations League
15 Nov 2018,Germany v Russia,L,"
3-0
",International Friendly
20 Nov 2018,Sweden v Russia,L,"
2-0
",UEFA Nations League
21 Mar 2019,Belgium v Russia,L,"
3-1
",UEFA European Championship
24 Mar 2019,Kazakhstan v Russia,W,"
0-4
",UEFA European Championship
08 Jun 2019,Russia v San Marino,W,"
9-0
",UEFA European Championship
11 Jun 2019,Russia v Cyprus,W,"
1-0
",UEFA European Championship
06 Sep 2019,Scotland v Russia,W,"
1-2
",UEFA European Championship
09 Sep 2019,Russia v Kazakhstan,W,"
1-0
",UEFA European Championship
10 Oct 2019,Russia v Scotland,W,"
4-0
",UEFA European Championship
13 Oct 2019,Cyprus v Russia,W,"
0-5
",UEFA European Championship
16 Nov 2019,Russia v Belgium,L,"
1-4
",UEFA European Championship
19 Nov 2019,San Marino v Russia,W,"
0-5
",UEFA European Championship
03 Sep 2020,Russia v Serbia,W,"
3-1
",UEFA Nations League
06 Sep 2020,Hungary v Russia,W,"
2-3
",UEFA Nations League
08 Oct 2020,Russia v Sweden,L,"
1-2
",International Friendly
11 Oct 2020,Russia v Turkey,D,"
1-1
",UEFA Nations League
14 Oct 2020,Russia v Hungary,D,"
0-0
",UEFA Nations League
12 Nov 2020,Moldova v Russia,D,"
0-0
",International Friendly
15 Nov 2020,Turkey v Russia,L,"
3-2
",UEFA Nations League
18 Nov 2020,Serbia v Russia,L,"
5-0
",UEFA Nations League
24 Mar 2021,Malta v Russia,W,"
1-3
",FIFA World Cup
27 Mar 2021,Russia v Slovenia,W,"
2-1
",FIFA World Cup
30 Mar 2021,Slovakia v Russia,L,"
2-1
",FIFA World Cup
05 Sep 2018,Slovakia v Denmark,L,"
3-0
",International Friendly
09 Sep 2018,Denmark v Wales,W,"
2-0
",UEFA Nations League
13 Oct 2018,Republic of Ireland v Denmark,D,"
0-0
",UEFA Nations League
16 Oct 2018,Denmark v Austria,W,"
2-0
",International Friendly
16 Nov 2018,Wales v Denmark,W,"
1-2
",UEFA Nations League
19 Nov 2018,Denmark v Republic of Ireland,D,"
0-0
",UEFA Nations League
21 Mar 2019,Kosovo v Denmark,D,"
2-2
",International Friendly
26 Mar 2019,Switzerland v Denmark,D,"
3-3
",UEFA European Championship
07 Jun 2019,Denmark v Republic of Ireland,D,"
1-1
",UEFA European Championship
10 Jun 2019,Denmark v Georgia,W,"
5-1
",UEFA European Championship
05 Sep 2019,Gibraltar v Denmark,W,"
0-6
",UEFA European Championship
08 Sep 2019,Georgia v Denmark,D,"
0-0
",UEFA European Championship
12 Oct 2019,Denmark v Switzerland,W,"
1-0
",UEFA European Championship
15 Oct 2019,Denmark v Luxembourg,W,"
4-0
",International Friendly
15 Nov 2019,Denmark v Gibraltar,W,"
6-0
",UEFA European Championship
18 Nov 2019,Republic of Ireland v Denmark,D,"
1-1
",UEFA European Championship
05 Sep 2020,Denmark v Belgium,L,"
0-2
",UEFA Nations League
08 Sep 2020,Denmark v England,D,"
0-0
",UEFA Nations League
07 Oct 2020,Denmark v Faroe Islands,W,"
4-0
",International Friendly
11 Oct 2020,Iceland v Denmark,W,"
0-3
",UEFA Nations League
14 Oct 2020,England v Denmark,W,"
0-1
",UEFA Nations League
11 Nov 2020,Denmark v Sweden,W,"
2-0
",International Friendly
15 Nov 2020,Denmark v Iceland,W,"
2-1
",UEFA Nations League
18 Nov 2020,Belgium v Denmark,L,"
4-2
",UEFA Nations League
25 Mar 2021,Israel v Denmark,W,"
0-2
",FIFA World Cup
28 Mar 2021,Denmark v Moldova,W,"
8-0
",FIFA World Cup
31 Mar 2021,Austria v Denmark,W,"
0-4
",FIFA World Cup
